"TYPE","PARENT","STATE","COMPLETED","FOCUS","NAME","TAGS","TIME","ENERGY","WAITINGFOR","STARTDATE","DUEDATE","NOTES",
"Task","Standalone","Someday","","","Fwd: Astro Queen vocal","","","","","","","---------- Forwarded message ----------From: <accrist@gmail.com>Date: Tue, Apr 25, 2017 at 1:36 AMSubject: Astro Queen vocalTo: accrist@gmail.com",
"Task","Standalone","Someday","","","Regex scriptures","","","","","","","",
"Task","Standalone","Someday","","","Writing course","professional dev","","","","","","",
"Task","Standalone","Inactive/Later","","","Put REI membership in Samsung pay","","","","","","","",
"Task","Standalone","Inactive/Later","","","Ffmpeg wrapper for conversions. Could […]","","","","","","","Ffmpeg wrapper for conversions. Could delay.",
"Task","Standalone","Inactive/Later","","","Dad spreadsheet project","family,home in Orem only","120","Low","","","","",
"Task","Standalone","Inactive/Later","","","Fwd: loans","","","","","","","---------- Forwarded message ----------From: Alex Crist <accrist@gmail.com>Date: Thu, Apr 20, 2017 at 6:39 PMSubject: loansTo: Alex Conrad Crist <accrist@gmail.com>",
"Task","Standalone","Inactive/Later","","","Fwd: Get Adderall fast and build up supply","","","","","","","---------- Forwarded message ----------From: <accrist@gmail.com>Date: Tue, Apr 18, 2017 at 12:41 AMSubject: Get Adderall fast and build up supplyTo: accrist@gmail.com",
"Task","Standalone","Inactive/Later","","","Get K blessing","","","","","","","",
"Task","Standalone","Inactive/Later","","","Fwd: Goals","","","","","","","---------- Forwarded message ----------From: Alex Crist <accrist@gmail.com>Date: Wed, Mar 22, 2017 at 9:18 AMSubject: GoalsTo: Alex Conrad Crist <accrist@gmail.com>Traditional Bench 205Traditional deadlift 325Strict press 135Back Squat 225",
"Task","Standalone","Inactive/Later","","","Langer research in medicine - emulate","","","","","","","",
"Task","Standalone","Inactive/Later","","","How to model eradication and need […]","","","","","","","How to model eradication and need immunity? Taming rabies",
"Task","Standalone","Inactive/Later","","","Do immunizations","","","","","","","",
"Task","Standalone","Inactive/Later","","","Tooushee bidet thing","","","","","","","",
"Task","Standalone","Inactive/Later","","","Furry logic book","","","","","","","",
"Task","Standalone","Inactive/Later","","","Look at carbon monoxide detector","","","","","","","",
"Task","Standalone","Inactive/Later","","","write gratitude notes for required wedding guests","","","","","","","",
"Task","Standalone","Inactive/Later","","","Make appointments with eye doctor","","","","","","","",
"Task","Standalone","Inactive/Later","","","submit aflac claims","","","","","","","",
"Task","Standalone","Inactive/Later","","","Renew drivers license","","","","","","","",
"Task","Standalone","Inactive/Later","","","bin for seasonal items on way out","","","","","","","",
"Task","Standalone","Inactive/Later","","","Hashtag video","","","","","","","",
"Task","Standalone","Trash","","Yes","Daily Planning","self care","10","Medium","","","2017-03-28","",
"Task","Standalone","Trash","","Yes","Daily Planning","self care","10","Medium","","","2017-04-26","",
"Task","Standalone","Trash","","","Learning techniques","professional dev","","","","","","",
"Task","Standalone","Trash","","","academy logo thing","","","","","","","namenumberacademy mortgagedad emails colorscircular - 1.5 in diameterfit in circle, however is okaycolor text maybe circular",
"Task","Standalone","Trash","","","Other preparation at least because of work boredom","professional dev","30","Medium","","","","",
"Task","Standalone","Trash","","Yes","Shiz","","","","","","2016-12-31","",
"Task","Standalone","Trash","","","Find ring you idiot","","","","","","","",
"Task","Standalone","Trash","","Yes","Daily Planning","self care","10","Medium","","","2017-04-19","",
"Task","Standalone","Trash","","","Love will tear is apart","","","","","","","",
"Task","Standalone","Trash","","","Sorry to Julie Bleazard?","","","","","","","",
"Task","Standalone","Trash","","Yes","Daily Planning","self care","10","Medium","","","2017-04-22","",
"Task","Standalone","Trash","","Yes","Daily Planning","self care","10","Medium","","","2017-03-23","",
"Task","Standalone","Trash","","","Don't waste life please","","","","","","","",
"Task","Standalone","Trash","","","Finish addresses","","","","","","","",
"Task","Standalone","Trash","","Yes","Daily Planning","self care","10","Medium","","","2017-03-13","",
"Task","Standalone","Trash","","","Mastodon","","","","","","","",
"Task","Standalone","Trash","","Yes","Daily Planning","self care","10","Medium","","","2017-03-08","",
"Task","Standalone","Trash","","","Recommend","","","","","","","",
"Task","Standalone","Trash","","","Kill briefing","","","","","","","",
"Task","Standalone","Trash","","","apparently more Altius stuff","","","","","","","",
"Task","Standalone","Trash","","","drop a Deuce","","15","Low","","","","",
"Task","Standalone","Trash","","Yes","Daily Planning","self care","10","Medium","","","2017-04-28","",
"Task","Standalone","Trash","","","Pull down and decide on gel times in […]","","","","","","","Pull down and decide on gel times in Dropbox",
"Task","Standalone","Trash","","Yes","Master Plan - Check 'Later'","self care","45","Medium","","","2017-04-16","",
"Task","Standalone","Trash","","Yes","Daily Planning","self care","10","Medium","","","2017-04-16","",
"Task","Standalone","Trash","","","","","","","","","","",
"Task","Standalone","Trash","","Yes","Master Plan - Check 'Later'","self care","45","Medium","","","2017-02-26","",
"Task","Standalone","Trash","","Yes","Master Plan - Check 'Later'","self care","45","Medium","","","2017-04-23","",
"Task","Standalone","Trash","","Yes","Daily Planning","self care","10","Medium","","","2017-04-23","",
"Task","Standalone","Trash","","Yes","Daily Planning","self care","10","Medium","","","2017-03-10","",
"Task","Standalone","Trash","","Yes","do lunch in advance","human","60","High","","","2017-03-12","",
"Task","Standalone","Trash","","","thank you notes to doctors and letter writers","professional dev","180","Medium","","","2017-06-30","",
"Task","Standalone","Trash","","","Develop cryOS to usable level","self care","240","High","","","","",
"Task","Standalone","Trash","","Yes","check old medical bills again","business,home in Orem only","15","High","","","2017-02-01","",
"Task","Standalone","Trash","","Yes","Daily Planning","self care","10","Medium","","","2017-03-19","",
"Task","Standalone","Trash","","","Get heat transfer stage","self care","240","High","","","","",
"Task","Standalone","Trash","","","consider PT for shoulder problem","human","10","Medium","","","","",
"Task","Standalone","Trash","","Yes","do lunch in advance","home in Orem only,human","60","High","","","2017-01-14","",
"Task","Standalone","Trash","","","theology research","church","10","Medium","","","","",
"Task","Standalone","Trash","","","reset Anki decks","","","","","","","",
"Task","Standalone","Trash","","Yes","return leather case","home in Orem only,human","15","Medium","","","2017-02-01","",
"Task","Standalone","Trash","","","laundry","human","30","Medium","","","","",
"Task","Standalone","Trash","","Yes","Master Plan - Check 'Later'","self care","45","Medium","","","2017-03-26","",
"Task","Standalone","Trash","","","tithing","church","45","High","","","","",
"Task","Standalone","Trash","","","On desktop? click the note icon →","","10","","","","","If you're on a desktop or laptop, there are a number of tricks you'll find indispensable: - Drag-n-drop to move and sort - Right-click and see what happens - Press N to create a new action",
"Task","Standalone","Trash","","Yes","Daily Planning","self care","10","Medium","","","2017-03-26","",
"Task","Standalone","Trash","","","blow out air filter","human","15","Medium","","","","",
"Task","Standalone","Trash","","","take out garbage","human","15","Medium","","","","",
"Task","Standalone","Trash","","","Clean out the attic","human","","","","","","just kidding",
"Task","Standalone","Trash","","Yes","Daily Planning","self care","10","Medium","","","2017-04-24","",
"Task","Standalone","Trash","","Yes","Daily Planning","self care","10","Medium","","","2017-04-17","",
"Task","Standalone","Trash","2016-12-28","","Brush up on GTD®","","","","","","","",
"Task","Standalone","Trash","","","samsung gear s3?","self care","15","Low","","","","",
"Task","Standalone","Trash","2016-12-27","","Read our Getting Started tutorial","","5","","","","","In this quick read (5 minutes) we walk through the high-level GTD® workflow as explained in the book, Getting Things Done: The Art of Stress-Free Productivity, and highlight how it applies to getting things done with Nirvana. http://nirvanahq.com/go/getting-started",
"Task","Standalone","Trash","","Yes","Daily Planning","self care","10","Medium","","","2017-03-16","",
"Task","Standalone","Trash","","","Dry clean suit immediately","","","","","","","",
"Task","Standalone","Trash","","Yes","Daily Planning","self care","10","Medium","","","2017-04-30","",
"Task","Standalone","Trash","","","laundry","human","30","Medium","","","","",
"Task","Standalone","Trash","","Yes","Daily Planning","self care","10","Medium","","","2017-04-27","",
"Task","Standalone","Trash","","Yes","Bring back real estate stuff to allow […]","Dad,business","15","Low","","","2017-03-02","Bring back real estate stuff to allow for write off",
"Task","Standalone","Trash","","Yes","Plan valentine's","Kelsey,family","30","High","","","2017-02-16","",
"Task","Standalone","Trash","","Yes","Daily Planning","self care","10","Medium","","","2017-03-14","",
"Task","Standalone","Trash","","","Midwestern tasks like vaccinations […]","","","","","","","Midwestern tasks like vaccinations excepting titers, check for any more",
"Task","Standalone","Trash","","Yes","Daily Planning","self care","10","Medium","","","2017-04-15","",
"Task","Standalone","Trash","","","Do financial applications for midwestern […]","","","","","","","Do financial applications for midwestern",
"Task","Standalone","Trash","","","laundry","human","30","Medium","","","","",
"Task","Standalone","Trash","","Yes","Daily Planning","self care","10","Medium","","","2017-03-11","",
"Task","Standalone","Trash","","Yes","theology research","church","10","Medium","","","2017-01-04","",
"Task","Standalone","Trash","","","Write letters to work folks","","","","","","","",
"Task","Standalone","Trash","","Yes","prepare mistake package for mail","home in Orem only,human","10","High","","","2017-01-06","",
"Task","Standalone","Trash","","Yes","Daily Planning","self care","10","Medium","","","2017-03-15","",
"Task","Standalone","Trash","","Yes","Daily Planning","self care","10","Medium","","","2017-03-20","",
"Task","Standalone","Trash","","Yes","Daily Planning","self care","10","Medium","","","2017-04-03","",
"Task","Standalone","Trash","","","Hey gladiator ost","","","","","","","",
"Task","Standalone","Trash","","","do lunch in advance","human","60","High","","","","",
"Task","Standalone","Trash","","Yes","Daily Planning","self care","10","Medium","","","2017-03-17","",
"Task","Standalone","Trash","","Yes","Daily Planning","self care","10","Medium","","","2017-03-03","",
"Task","Standalone","Trash","","Yes","do lunch in advance","human","60","High","","","2017-03-19","",
"Task","Standalone","Trash","","Yes","do lunch in advance","human","60","High","","","2017-03-05","",
"Task","Standalone","Trash","","","new passage 1","","15","Low","","","","",
"Task","Standalone","Trash","","","new passage 2","","15","Low","","","","",
"Task","Standalone","Trash","","","laundry","human","30","Medium","","","","",
"Task","Standalone","Trash","","Yes","Daily Planning","self care","10","Medium","","","2017-03-18","",
"Task","Standalone","Trash","","Yes","Daily Planning","self care","10","Medium","","","2017-03-29","",
"Task","Standalone","Trash","","","Watch President hinckley interviews?","church","","","","","","",
"Task","Standalone","Trash","","","Get up earlier gradually","","","","","","","",
"Task","Standalone","Trash","","Yes","Daily Planning","self care","10","Medium","","","2017-04-18","",
"Task","Standalone","Trash","","Yes","Daily Planning","self care","10","Medium","","","2017-04-07","",
"Task","Standalone","Trash","","Yes","Master Plan - Check 'Later'","self care","45","Medium","","","2017-04-09","",
"Task","Standalone","Trash","","Yes","Daily Planning","self care","10","Medium","","","2017-04-09","",
"Task","Standalone","Trash","","Yes","Master Plan - Check 'Later'","self care","45","Medium","","","2017-04-02","",
"Task","Standalone","Trash","","Yes","Daily Planning","self care","10","Medium","","","2017-04-02","",
"Task","Standalone","Trash","","","I look","","","","","","","",
"Task","Standalone","Trash","","","I am a noob","","","","","","","",
"Task","Standalone","Trash","","","temple - have name","","","","","","","",
"Task","Standalone","Trash","","","Reach throigh parents","","","","","","","",
"Task","Standalone","Trash","","","Jxnxnzj","","","","","","","",
"Task","Standalone","Trash","","Yes","Daily Planning","self care","10","Medium","","","2017-04-04","",
"Task","Standalone","Trash","","","Test","","","","","","","",
"Task","Standalone","Trash","","","Tell success Academy to talk to Rocky Vista","","","","","","","",
"Task","Standalone","Trash","","","laundry","human","30","Medium","","","","",
"Task","Standalone","Trash","","Yes","Daily Planning","self care","10","Medium","","","2017-03-04","",
"Task","Standalone","Trash","","","Clean car instead of wasting night","","","","","","","",
"Task","Standalone","Trash","","Yes","Daily Planning","self care","10","Medium","","","2017-04-01","",
"Task","Standalone","Trash","","","Finest recommend","","","","","","","",
"Task","Standalone","Trash","","","website: link registry","","","","","","","",
"Task","Standalone","Trash","","","website: story: well written without adverbs","","","","","","","",
"Task","Standalone","Trash","","Yes","Send transcript to Midwestern","only on errand-run,professional dev","45","Medium","","","2017-01-13","",
"Task","Standalone","Trash","","","website: parking instructions around and overpass","","","","","","","",
"Task","Standalone","Trash","","","website: can we create orphan pages for dinner and sealing specific information","","","","","","","",
"Task","Standalone","Trash","","Yes","Daily Planning","self care","10","Medium","","","2017-04-25","",
"Task","Standalone","Trash","","Yes","Daily Planning","self care","10","Medium","","","2017-03-01","",
"Task","Standalone","Trash","","Yes","Daily Planning","self care","10","Medium","","","2017-03-24","",
"Task","Standalone","Trash","","","Discord for Linux","","","","","","","",
"Task","Standalone","Trash","","Yes","Daily Planning","self care","10","Medium","","","2017-03-31","",
"Task","Standalone","Trash","","Yes","Daily Planning","self care","10","Medium","","","2017-03-06","",
"Task","Standalone","Trash","","Yes","Daily Planning","self care","10","Medium","","","2017-03-25","",
"Task","Standalone","Trash","","","Weekly Planning","","","","","","","",
"Task","Standalone","Trash","","Yes","Daily Planning","self care","10","Medium","","","2017-04-08","",
"Task","Standalone","Trash","","","The face of battle by John Keagan","","","","","","","",
"Task","Standalone","Trash","","","Destroy all gross garments to celebrate […]","","","","","","","Destroy all gross garments to celebrate marriage",
"Task","Standalone","Trash","","","Woodkid","","","","","","","",
"Task","Standalone","Trash","","Yes","Daily Planning","self care","10","Medium","","","2017-04-14","",
"Task","Standalone","Trash","","","laundry","human","30","Medium","","","","",
"Task","Standalone","Trash","","Yes","Daily Planning","self care","10","Medium","","","2017-04-05","",
"Task","Standalone","Trash","","Yes","registry but for smattering, most are gift cards","family,home in Orem only","","Low","","","2017-01-09","",
"Task","Standalone","Trash","2017-02-27","Yes","Master Plan - Check 'Later'","self care","45","Medium","","","2017-02-19","",
"Task","Standalone","Trash","","","I pencil","","","","","","","",
"Task","Standalone","Trash","","","investigate orphan pages for dinner and sealing","","","","","","","",
"Task","Standalone","Trash","","Yes","Daily Planning","self care","10","Medium","","","2017-04-06","",
"Task","Standalone","Trash","","","laundry","human","30","Medium","","","","",
"Task","Standalone","Trash","","Yes","Daily Planning","self care","10","Medium","","","2017-04-12","",
"Task","Standalone","Trash","","Yes","Daily Planning","self care","10","Medium","","","2017-04-21","",
"Task","Standalone","Trash","","Yes","Master Plan - Check 'Later'","self care","45","Medium","","","2017-03-12","",
"Task","Standalone","Trash","","Yes","Daily Planning","self care","10","Medium","","","2017-03-12","",
"Task","Standalone","Trash","","Yes","Daily Planning","self care","10","Medium","","","2017-03-02","",
"Task","Standalone","Trash","","Yes","Daily Planning","self care","10","Medium","","","2017-05-01","",
"Task","Standalone","Trash","","","Really get after midwestern tasks","","","","","","","",
"Task","Standalone","Trash","","","Ensure good signs are available","","","","","","","",
"Task","Standalone","Trash","","Yes","Daily Planning","self care","10","Medium","","","2017-03-21","",
"Task","Standalone","Trash","","","Work on lats and push-ups? At home","","","","","","","",
"Task","Standalone","Trash","","","be sure there's nothing from midwestern","","","","","","","",
"Task","Standalone","Trash","","Yes","Daily Planning","self care","10","Medium","","","2017-03-30","",
"Task","Standalone","Trash","","","do lunch in advance","human","60","High","","","","",
"Task","Standalone","Trash","","Yes","Daily Planning","self care","10","Medium","","","2017-03-27","",
"Task","Standalone","Trash","","","Do recoding or progress is lost","","","","","","","",
"Task","Standalone","Trash","","Yes","Daily Planning","self care","10","Medium","","","2017-03-09","",
"Task","Standalone","Trash","","Yes","Daily Planning","self care","10","Medium","","","2017-02-28","",
"Task","Standalone","Trash","","Yes","Daily Planning","self care","10","Medium","","","2017-04-13","",
"Task","Standalone","Trash","","","remote tray","","","","","","","",
"Task","Standalone","Trash","","Yes","Master Plan - Check 'Later'","self care","45","Medium","","","2017-03-05","",
"Task","Standalone","Trash","","Yes","Daily Planning","self care","10","Medium","","","2017-03-05","",
"Task","Standalone","Trash","","","do lunch in advance","human","60","High","","","","",
"Task","Standalone","Trash","","Yes","Daily Planning","self care","10","Medium","","","2017-04-29","",
"Task","Standalone","Trash","","Yes","Daily Planning","self care","10","Medium","","","2017-03-22","",
"Task","Standalone","Trash","","Yes","Daily Planning","self care","10","Medium","","","2017-04-10","",
"Task","Standalone","Trash","","","Look at scriptures","","","","","","","",
"Task","Standalone","Trash","","Yes","Daily Planning","self care","10","Medium","","","2017-04-20","",
"Task","Standalone","Trash","","Yes","Daily Planning","self care","10","Medium","","","2017-03-07","",
"Task","Standalone","Trash","","Yes","Daily Planning","self care","10","Medium","","","2017-04-11","",
"Task","Standalone","Trash","","","Faster reading speed?","","","","","","","",
"Task","Standalone","Logbook","2017-05-08","Yes","Daily Planning","self care","10","Medium","","","2017-05-07","",
"Task","Standalone","Logbook","2017-05-01","","gift for dad","","","","","","","",
"Task","Standalone","Logbook","2017-01-14","","password generation project - NATO graph path candidate selection","self care","30","Low","","","","",
"Task","Standalone","Logbook","2017-05-08","Yes","Daily Planning","self care","10","Medium","","","2017-05-05","",
"Task","Standalone","Logbook","2017-01-15","Yes","theology research","church","10","Medium","","","2017-01-15","",
"Task","Standalone","Logbook","2017-01-23","Yes","theology research","church","10","Medium","","","2017-01-22","",
"Task","Standalone","Logbook","2017-01-22","Yes","Master Plan - Check 'Later'","self care","45","Medium","","","2017-01-15","",
"Task","Standalone","Logbook","2017-01-09","Yes","theology research","church","10","Medium","","","2017-01-07","",
"Task","Standalone","Logbook","2017-02-27","","Get coconut oil","","","","","","","",
"Task","Standalone","Logbook","2017-05-01","","love will tear us apart","","","","","","","",
"Task","Standalone","Logbook","2017-01-31","Yes","pay tax preparation bill","business","10","Medium","","","2017-01-25","",
"Task","Standalone","Logbook","2017-01-24","Yes","Master Plan - Check 'Later'","self care","45","Medium","","","2017-01-22","",
"Task","Standalone","Logbook","2017-01-15","Yes","Daily Planning","self care","10","Medium","","","2017-01-15","",
"Task","Standalone","Logbook","2017-01-07","","laundry","human","30","Medium","","","","",
"Task","Standalone","Logbook","2017-01-23","Yes","Daily Planning","self care","10","Medium","","","2017-01-22","",
"Task","Standalone","Logbook","2017-01-09","Yes","Daily Planning","self care","10","Medium","","","2017-01-07","",
"Task","Standalone","Logbook","2017-02-27","Yes","reinterview for living ordinance","","","","","","2017-02-26","",
"Task","Standalone","Logbook","2017-02-14","","change useless old-timey three keys on 105-key keyboard to something??","","","","","","","",
"Task","Standalone","Logbook","2017-01-14","","Deposit and sign agreement with Midwestern","professional dev","30","Low","","","2017-01-19","",
"Task","Standalone","Logbook","2017-01-19","","See about text graphics library and if […]","","","","","","","See about text graphics library and if flask can do WSGI sockets",
"Task","Standalone","Logbook","2017-01-06","Yes","theology research","church","10","Medium","","","2017-01-05","",
"Task","Standalone","Logbook","2017-01-06","Yes","Daily Planning","self care","10","Medium","","","2017-01-05","",
"Task","Standalone","Logbook","2017-02-13","Yes","Call number to set up appointment for stake interview","Kelsey,church,family,home in Orem only","60","Medium","","","2017-01-28","",
"Task","Standalone","Logbook","2017-01-19","Yes","theology research","church","10","Medium","","","2017-01-17","",
"Task","Standalone","Logbook","2017-01-19","Yes","Daily Planning","self care","10","Medium","","","2017-01-17","",
"Project","Standalone","Logbook","2017-01-30","","Invitations","Kelsey,family","","","","","","",
"Task","Standalone","Logbook","2017-01-22","","Finish addresses","family","45","High","","","2017-01-23","",
"Task","Standalone","Logbook","2016-12-29","","Reset Anki Premed Latin Deck","professional dev","30","Low","","","","",
"Task","Standalone","Logbook","2017-02-15","Yes","Daily Planning","self care","10","Medium","","","2017-02-14","",
"Task","Standalone","Logbook","2017-02-16","Yes","theology research","church","10","Medium","","","2017-02-14","",
"Task","Standalone","Logbook","2017-02-14","","check tire stem caps","human","5","Low","","","","",
"Task","Standalone","Logbook","2017-02-24","Yes","theology research","church","10","Medium","","","2017-02-21","",
"Task","Standalone","Logbook","2017-02-22","Yes","Daily Planning","self care","10","Medium","","","2017-02-21","",
"Task","Standalone","Logbook","2017-05-01","","Do taxes","","","","","","","",
"Task","Standalone","Logbook","2017-01-09","Yes","theology research","church","10","Medium","","","2017-01-09","",
"Task","Standalone","Logbook","2017-02-24","Yes","theology research","church","10","Medium","","","2017-02-23","",
"Task","Standalone","Logbook","2017-01-09","Yes","Daily Planning","self care","10","Medium","","","2017-01-09","",
"Task","Standalone","Logbook","2017-02-24","Yes","Daily Planning","self care","10","Medium","","","2017-02-23","",
"Task","Standalone","Logbook","2017-02-14","","Get sunglasses","","","","","","","",
"Task","Standalone","Logbook","2017-02-27","Yes","theology research","church","10","Medium","","","2017-02-26","",
"Task","Standalone","Logbook","2017-02-27","Yes","Daily Planning","self care","10","Medium","","","2017-02-26","",
"Task","Standalone","Logbook","2017-03-28","Yes","Master Plan - Check 'Later'","self care","45","Medium","","","2017-03-19","",
"Task","Standalone","Logbook","2017-05-08","Yes","Daily Planning","self care","10","Medium","","","2017-05-04","",
"Task","Standalone","Logbook","2017-01-07","","figure out taxes","human","15","High","","","","",
"Task","Standalone","Logbook","2017-05-08","Yes","Daily Planning","self care","10","Medium","","","2017-05-06","",
"Task","Standalone","Logbook","2017-01-07","Yes","theology research","church","10","Medium","","","2017-01-06","",
